台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
3386,75,0,0,0,0,0,0,0,0,60,20230206
3605,793,6,7,0,869,132.2,113.3,0,61,214,20230206
3386,458,2,1,0,0,229,458,0,152.7,75,20230207
3605,1245,5,4,0,0,249,311.3,0,138.3,302,20230207
3386,1430,4,5,0,116,357.5,286,0,158.9,143,20230208
3605,535,2,2,0,0,267.5,267.5,0,133.8,51,20230208
3386,980,2,5,0,0,490,196,0,140,432,20230209
3605,370,4,0,0,192,92.5,0,0,92.5,108,20230209
3386,269,1,0,0,0,269,0,0,269,266,20230210
3605,164,0,2,0,126,0,82,0,82,110,20230210
3386,4904,29,20,0,862,169.1,245.2,0,100.1,137,20230211
3605,506,0,0,0,0,0,0,0,0,164,20230211
3386,1202,6,3,0,0,200.3,400.7,0,133.6,399,20230212
3605,2544,9,17,0,315,282.7,149.6,0,97.8,506,20230212
